tstep,mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
21,1,6,0,1.61688664E+26,1.40243609E+26,1.45614881E+26,1.46126570E+26,1.63190093E+26,1.33031324E+26,1.50560422E+26,1.32344811E+26,1.54785262E+26,1.61779228E+26,1.33456594E+26,1.36691329E+26,1.55384411E+26,1.60486913E+26,1.83008786E+26,1.42775889E+26,1.79919946E+26,1.44957441E+26,1.60246188E+26,1.60624533E+26,1.48406616E+26,1.47410759E+26,1.43702525E+26,1.68665888E+26,1.68516335E+26,1.70826385E+26,1.52772359E+26,1.38005570E+26,1.52270317E+26,1.61542255E+26,1.59145858E+26,1.63848446E+26
22,1,6,6,1.61477384E+26,1.40037357E+26,1.45060145E+26,1.44627504E+26,1.61964513E+26,1.31783395E+26,1.51191939E+26,1.31373439E+26,1.53800240E+26,1.61551955E+26,1.31669070E+26,1.35979424E+26,1.54407711E+26,1.59390047E+26,1.81451116E+26,1.41825129E+26,1.78480455E+26,1.44572083E+26,1.60642036E+26,1.59657446E+26,1.48185147E+26,1.46292938E+26,1.43420554E+26,1.67654306E+26,1.68155540E+26,1.71226910E+26,1.52477971E+26,1.37757676E+26,1.52137657E+26,1.61258869E+26,1.58228916E+26,1.62774688E+26
23,1,6,12,1.61969050E+26,1.40586326E+26,1.45451840E+26,1.45381315E+26,1.63470245E+26,1.31803419E+26,1.51208137E+26,1.31746936E+26,1.54203880E+26,1.62216995E+26,1.31453183E+26,1.37068425E+26,1.56038922E+26,1.61201054E+26,1.81346911E+26,1.42980146E+26,1.78757773E+26,1.45797638E+26,1.61433137E+26,1.60650495E+26,1.48602731E+26,1.46772278E+26,1.43603970E+26,1.67587481E+26,1.68907071E+26,1.73501270E+26,1.53387489E+26,1.38658595E+26,1.52539765E+26,1.62084649E+26,1.59120491E+26,1.63143886E+26
24,1,6,18,1.62924732E+26,1.40464489E+26,1.45597137E+26,1.44229451E+26,1.63648119E+26,1.30934976E+26,1.51570397E+26,1.30179222E+26,1.53680321E+26,1.61897595E+26,1.29630071E+26,1.35692673E+26,1.55763975E+26,1.61095246E+26,1.80643443E+26,1.42253960E+26,1.78218137E+26,1.46061850E+26,1.62392183E+26,1.61309901E+26,1.49190746E+26,1.46092943E+26,1.42993812E+26,1.67171909E+26,1.69879823E+26,1.74227195E+26,1.53664912E+26,1.38143665E+26,1.53121347E+26,1.61803350E+26,1.57779269E+26,1.63064167E+26
25,1,7,0,1.62539000E+26,1.40656457E+26,1.45916311E+26,1.43599805E+26,1.64941443E+26,1.30276803E+26,1.50951795E+26,1.30050537E+26,1.53786587E+26,1.61364546E+26,1.28615233E+26,1.36142833E+26,1.56797293E+26,1.61658978E+26,1.79871455E+26,1.42318126E+26,1.77336281E+26,1.46160321E+26,1.61844528E+26,1.60930962E+26,1.49554648E+26,1.45700616E+26,1.42378661E+26,1.66418513E+26,1.70348770E+26,1.75790763E+26,1.54063265E+26,1.38627406E+26,1.53395171E+26,1.61765982E+26,1.57366991E+26,1.63151818E+26
26,1,7,6,1.62052829E+26,1.40561302E+26,1.46132483E+26,1.42816840E+26,1.64624465E+26,1.28571952E+26,1.51057792E+26,1.28255983E+26,1.52933156E+26,1.60865648E+26,1.26895296E+26,1.34897612E+26,1.56470095E+26,1.60900449E+26,1.78398622E+26,1.41239769E+26,1.75937873E+26,1.44788020E+26,1.62499764E+26,1.60305876E+26,1.49389436E+26,1.45064859E+26,1.41102601E+26,1.65413011E+26,1.71029356E+26,1.76144149E+26,1.54048840E+26,1.38004516E+26,1.52968966E+26,1.60570441E+26,1.55929550E+26,1.62844998E+26
27,1,7,12,1.62329864E+26,1.41421294E+26,1.47047187E+26,1.43800016E+26,1.65958481E+26,1.28703817E+26,1.51104972E+26,1.29255567E+26,1.53685559E+26,1.61539537E+26,1.26598831E+26,1.35339093E+26,1.57883309E+26,1.61883016E+26,1.78308508E+26,1.42009609E+26,1.75628083E+26,1.46110560E+26,1.63036620E+26,1.61252295E+26,1.50692839E+26,1.45139622E+26,1.40634816E+26,1.65182632E+26,1.72461187E+26,1.77972335E+26,1.55211034E+26,1.38366126E+26,1.53722801E+26,1.61276410E+26,1.56558023E+26,1.63844209E+26
28,1,7,18,1.62572290E+26,1.41713909E+26,1.46925464E+26,1.43385466E+26,1.65862773E+26,1.28296770E+26,1.51412154E+26,1.28878165E+26,1.53850713E+26,1.61365401E+26,1.25230528E+26,1.33953724E+26,1.57918376E+26,1.61518172E+26,1.77410637E+26,1.41180423E+26,1.74528254E+26,1.46419137E+26,1.63756165E+26,1.61459906E+26,1.50735979E+26,1.44198240E+26,1.39760293E+26,1.64194145E+26,1.73621979E+26,1.78430769E+26,1.55729718E+26,1.37760366E+26,1.54572478E+26,1.60340461E+26,1.55745548E+26,1.64057540E+26
29,1,8,0,1.62537436E+26,1.42173624E+26,1.47867018E+26,1.42970914E+26,1.66271889E+26,1.27415149E+26,1.51442767E+26,1.29817348E+26,1.53397803E+26,1.61121786E+26,1.24758549E+26,1.33533203E+26,1.58111744E+26,1.60996746E+26,1.76011466E+26,1.40551352E+26,1.73322370E+26,1.46805878E+26,1.63472947E+26,1.60726677E+26,1.51020711E+26,1.44043758E+26,1.39054749E+26,1.62815535E+26,1.74239745E+26,1.79018318E+26,1.56875939E+26,1.36966195E+26,1.54947501E+26,1.59560701E+26,1.55730665E+26,1.64031134E+26
30,1,8,6,1.62596913E+26,1.42104867E+26,1.46659870E+26,1.42251187E+26,1.65664406E+26,1.25867375E+26,1.51438097E+26,1.29476651E+26,1.52929070E+26,1.60904419E+26,1.23843643E+26,1.32716707E+26,1.57358005E+26,1.60259962E+26,1.74273170E+26,1.39328084E+26,1.71891899E+26,1.46600498E+26,1.63499402E+26,1.60229125E+26,1.50203052E+26,1.43184282E+26,1.37622064E+26,1.61725916E+26,1.74456869E+26,1.78422025E+26,1.56949766E+26,1.35952190E+26,1.55226735E+26,1.57991476E+26,1.54672658E+26,1.63729816E+26
