mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,6,12,0.624389222,-1.016719555,-0.643294845,-0.648707519,0.739604867,-1.690801412,-0.201503144,-1.695136442,0.028418025,0.643418858,-1.717681716,-1.286715905,0.169256184,0.565446118,2.11162624,-0.832995568,1.912911716,-0.616755068,0.583258313,0.523191118,-0.401466214,-0.541952121,-0.785117501,1.055599799,1.156877403,1.50947891,-0.034239437,-1.164671532,-0.099301606,0.633261392,0.405764365,0.714557056
1,6,18,0.695965442,-0.9810688,-0.597830472,-0.699951144,0.749978366,-1.692606906,-0.151826312,-1.749036643,0.005714937,0.619272382,-1.790039992,-1.337364969,0.161294702,0.55936361,2.018964673,-0.847454747,1.837874864,-0.563131799,0.656201674,0.575391207,-0.329507212,-0.56081022,-0.792212397,1.013088488,1.215279702,1.539884057,0.004564367,-1.154357238,-0.036021822,0.612235401,0.311770205,0.706376598
1,7,0,0.665920162,-0.959253807,-0.56861472,-0.740657095,0.844344908,-1.730130561,-0.194639032,-1.746934925,0.015895397,0.578695694,-1.853532175,-1.294471881,0.239494748,0.600562597,1.9531679,-0.835844931,1.764885452,-0.550492552,0.614343029,0.546494286,-0.298402458,-0.584633946,-0.831349102,0.954044012,1.245936591,1.650102867,0.036443774,-1.109947486,-0.013174314,0.608509576,0.28180505,0.71143294
1,7,6,0.667379448,-0.899231079,-0.493123553,-0.734815156,0.854837201,-1.773186779,-0.134096411,-1.796219094,0.002606978,0.580840682,-1.895405443,-1.312082012,0.260429822,0.583377469,1.858895175,-0.849774654,1.679520538,-0.591127306,0.699958492,0.540036502,-0.255710145,-0.570947259,-0.859773438,0.912317698,1.321717404,1.694556841,0.083934043,-1.085606292,0.00521731,0.55932177,0.221027121,0.725124126
1,7,12,0.634035954,-0.877799621,-0.471008259,-0.705801401,0.89641031,-1.797361979,-0.177602081,-1.757466606,0.008992369,0.576889788,-1.949567194,-1.317585188,0.312518967,0.601725743,1.789403494,-0.835260367,1.595589996,-0.538732967,0.685139379,0.556120173,-0.20740222,-0.608938519,-0.934667499,0.840310981,1.366601346,1.7650958,0.119294847,-1.09870958,0.011685236,0.557863889,0.216691552,0.743533657
1,7,18,0.657314998,-0.82727473,-0.45634371,-0.708302125,0.891514253,-1.782236071,-0.137004714,-1.740855472,0.036559094,0.571414999,-2.000475065,-1.379603908,0.326073929,0.582288468,1.713430453,-0.865245455,1.508277579,-0.492381392,0.741576968,0.578141404,-0.185131291,-0.65045312,-0.966322877,0.7727501,1.443773683,1.786038049,0.170296727,-1.108667145,0.087930506,0.498465167,0.171423444,0.763027255
1,8,0,0.66756044,-0.784476462,-0.378510329,-0.72762583,0.93384474,-1.836826026,-0.12354234,-1.665537797,0.015861,0.566617809,-2.026254281,-1.400579622,0.351987501,0.557701879,1.628322955,-0.900152154,1.436577634,-0.454174643,0.734266825,0.538444687,-0.153636973,-0.651126943,-1.006867051,0.68739023,1.501990862,1.842725856,0.263868724,-1.155790974,0.126361892,0.455304997,0.182205171,0.774068224
1,8,6,0.714790493,-0.736037999,-0.413545599,-0.725678572,0.931967748,-1.885645778,-0.075249114,-1.630110511,0.030311174,0.594962627,-2.028925208,-1.400715851,0.343877936,0.549335346,1.541464716,-0.932633103,1.372871711,-0.417749139,0.77868635,0.547152096,-0.162689757,-0.659615838,-1.053418611,0.653124286,1.554470536,1.835201959,0.314974788,-1.171645029,0.192984891,0.388727417,0.153756463,0.794999571
1,8,12,0.749125347,-0.713129041,-0.408632698,-0.715246952,0.95798561,-1.900962692,-0.0861966,-1.585858354,0.058173964,0.586763696,-2.076208992,-1.418421616,0.333116227,0.56685141,1.475918893,-0.905277669,1.34578596,-0.408158005,0.698047304,0.573610528,-0.219912648,-0.642977968,-1.051848288,0.59028031,1.557154857,1.858349155,0.382738162,-1.213373245,0.239142053,0.376268765,0.186768347,0.810124181
1,8,18,0.766886534,-0.632705304,-0.412219755,-0.713518163,0.973081974,-1.947937956,-0.007307057,-1.504738909,0.038913241,0.60928007,-2.117453558,-1.456163752,0.284037229,0.605049785,1.40979152,-0.931831512,1.28498254,-0.415009802,0.709206527,0.521884893,-0.248011532,-0.67687457,-1.021276301,0.528869828,1.600516165,1.847157487,0.493007563,-1.227450309,0.304266324,0.296917864,0.233883595,0.80476534
1,9,0,0.789068334,-0.580408182,-0.382261463,-0.746096814,1.007595307,-2.037788282,-0.023599905,-1.432583201,0.018924794,0.643089185,-2.176880832,-1.435187831,0.328282845,0.634578195,1.303090992,-0.920411158,1.225241506,-0.380418504,0.631277625,0.511768891,-0.245800417,-0.676373574,-1.021766835,0.491212256,1.629441644,1.830579245,0.555060032,-1.232636933,0.377350986,0.267204211,0.257460806,0.790987079
1,9,6,0.838844072,-0.510162917,-0.366164597,-0.751244922,0.965810944,-2.085295731,0.007020443,-1.386602259,-0.011040603,0.686440687,-2.185536561,-1.450784136,0.308459414,0.70006971,1.209111048,-0.977955802,1.139159351,-0.379194945,0.643013021,0.482633891,-0.266255493,-0.66811166,-0.982870744,0.445951654,1.664223931,1.815496677,0.660960747,-1.24638006,0.395917687,0.230761032,0.249712119,0.824014001
1,9,12,0.852832221,-0.438215346,-0.31059604,-0.733220014,0.998381218,-2.135668453,-0.047369433,-1.387757331,-0.05512924,0.666566341,-2.228638608,-1.463628028,0.37839637,0.701664318,1.127499542,-0.942828897,1.085618635,-0.353657105,0.551652193,0.448753065,-0.237162634,-0.677806839,-0.976592741,0.394051495,1.65065064,1.814860804,0.772214125,-1.240824814,0.460860412,0.215482837,0.284872276,0.824739028
1,9,18,0.867829229,-0.414420374,-0.268641763,-0.700017545,1.015711466,-2.164124823,-0.036650597,-1.317045371,-0.090625915,0.667180349,-2.209617822,-1.503331851,0.374359825,0.712643795,1.074823074,-0.971139614,1.00068325,-0.352559508,0.551571371,0.43919148,-0.222514879,-0.720978757,-0.970397292,0.379986816,1.681236107,1.799872834,0.847099485,-1.267546391,0.522966227,0.157059385,0.304941367,0.81245644
1,10,0,0.844700453,-0.335026301,-0.191995407,-0.675022428,1.080880914,-2.234307184,-0.10833843,-1.239683865,-0.138204737,0.66072229,-2.187161875,-1.48562782,0.453305075,0.712147211,1.006325061,-0.963993257,0.937133248,-0.372564731,0.492803547,0.386426707,-0.235400317,-0.711438084,-1.032555813,0.329366336,1.687437119,1.804037299,0.943883156,-1.264669466,0.562725929,0.105436017,0.336007323,0.83265203
1,10,6,0.892552941,-0.289734434,-0.120579084,-0.677321467,1.068399095,-2.260711756,-0.082618816,-1.20666632,-0.180406847,0.664046601,-2.156213491,-1.469309527,0.435845895,0.731039462,0.969119461,-1.003936318,0.885830447,-0.414209805,0.465122535,0.376286,-0.213722405,-0.705825646,-1.035225546,0.287942743,1.698380845,1.811228037,1.033208905,-1.27818453,0.594723941,0.072360831,0.303838275,0.804739977
1,10,12,0.902629294,-0.237862273,-0.044582702,-0.658551155,1.147370428,-2.256737631,-0.116500884,-1.19497106,-0.207506891,0.636270479,-2.099374165,-1.479304512,0.487681659,0.757623405,0.858125627,-0.964320138,0.842939066,-0.422168633,0.382966864,0.400824054,-0.224185892,-0.745148289,-1.111269682,0.253812549,1.700232036,1.818548629,1.102651871,-1.296417867,0.627396629,0.037492715,0.303757582,0.798578886
1,10,18,0.939367844,-0.246960474,0.079102355,-0.681947877,1.140408465,-2.213011868,-0.12615534,-1.139347017,-0.215666645,0.647141031,-2.110787186,-1.480714751,0.450809652,0.809648358,0.817991077,-0.99331939,0.782186912,-0.483579246,0.336633603,0.389042638,-0.219466181,-0.734913525,-1.123414056,0.241830778,1.697592211,1.852701236,1.161689903,-1.281281582,0.644403119,-0.0212958,0.295182847,0.78612891
1,11,0,0.903500704,-0.21482449,0.120985055,-0.625591494,1.176157417,-2.26918907,-0.132442645,-1.073732436,-0.225774954,0.601644789,-2.082803714,-1.446797553,0.462974329,0.838609158,0.771783292,-0.989005957,0.721275338,-0.518449814,0.305575672,0.406597918,-0.228263931,-0.702065962,-1.213073129,0.20971386,1.715186788,1.844865686,1.205337738,-1.271764726,0.64558379,-0.05645171,0.313889794,0.806550257
1,11,6,0.964746251,-0.265242423,0.1614707,-0.606924685,1.171354953,-2.310163871,-0.07961744,-1.058005153,-0.224560887,0.620320372,-2.048715414,-1.38511955,0.426782741,0.837919678,0.755030657,-0.986403794,0.674438449,-0.586013271,0.267195952,0.443467557,-0.237930437,-0.676611279,-1.242717992,0.202097938,1.68454147,1.874570847,1.242137217,-1.259054364,0.660724857,-0.090309781,0.282362988,0.788227715
1,11,12,0.938844378,-0.282849672,0.211270943,-0.599445705,1.215621818,-2.33421417,-0.111947546,-1.030003973,-0.237022109,0.573679168,-1.995362148,-1.319128165,0.471933344,0.899074518,0.665154128,-0.96836199,0.6549929,-0.608432606,0.171545526,0.475802801,-0.243050538,-0.698860478,-1.298162146,0.183655372,1.676136564,1.92192228,1.278562876,-1.240243561,0.63035856,-0.100659736,0.31764467,0.781544696
1,11,18,0.939486843,-0.339959041,0.263563702,-0.571126821,1.248820562,-2.392057385,-0.06594463,-0.978868646,-0.257807467,0.58031571,-2.011588934,-1.259653343,0.418057951,0.878701824,0.612511829,-0.944007114,0.621181903,-0.65194257,0.146934391,0.506458324,-0.288456672,-0.664291008,-1.250970314,0.191728392,1.673461225,1.955561306,1.287569957,-1.23438899,0.671567476,-0.12451656,0.31476714,0.724890958
1,12,0,0.962551028,-0.359770939,0.268963768,-0.582071958,1.299388276,-2.44912055,-0.069910372,-0.901668854,-0.264739822,0.525550097,-1.97436876,-1.212510256,0.434041064,0.898176007,0.517628177,-0.920089741,0.614985335,-0.66197613,0.097327546,0.542182945,-0.310381597,-0.630208746,-1.254872034,0.137579048,1.674653632,1.994811035,1.292551786,-1.221242903,0.692390858,-0.136632015,0.330332971,0.666451106
1,12,6,0.999054034,-0.407044599,0.298051778,-0.636290659,1.319877329,-2.500733656,-0.030689923,-0.859187286,-0.219414564,0.519374192,-1.938237856,-1.124963945,0.412357729,0.860257298,0.475547678,-0.887281511,0.578195443,-0.649547617,0.051987372,0.558286359,-0.365687007,-0.626512435,-1.248611264,0.093476694,1.674725123,2.03728576,1.316089144,-1.205145526,0.751918202,-0.161145315,0.333437699,0.58057133
1,12,12,0.953661843,-0.452874506,0.341907487,-0.689223172,1.377535591,-2.514387588,-0.020195851,-0.797558045,-0.209758905,0.463964247,-1.874690599,-1.048524833,0.480163212,0.878746681,0.416012515,-0.846243846,0.564871935,-0.656577198,0.030559243,0.62198665,-0.427085579,-0.650973725,-1.286536733,0.017754084,1.668204167,2.065432626,1.314335207,-1.194554399,0.798431605,-0.186237573,0.317779644,0.544075818
1,12,18,0.957230535,-0.482992823,0.369119138,-0.736544799,1.455976356,-2.530579784,0.012801498,-0.745030047,-0.182862738,0.409172533,-1.88392982,-1.019455585,0.439342046,0.845121636,0.387110076,-0.817268791,0.538436043,-0.632252053,0.004445648,0.668050099,-0.484832244,-0.658193195,-1.257215694,-0.023494497,1.658286162,2.080899302,1.300976879,-1.135522525,0.856431986,-0.209245367,0.306109453,0.509910573
1,13,0,0.889372162,-0.518351434,0.390683844,-0.746596977,1.497448228,-2.607161122,0.00744038,-0.686960758,-0.19640879,0.385118681,-1.774881172,-0.966227801,0.477263238,0.816406228,0.384720246,-0.800070393,0.530524691,-0.651147845,0.006519044,0.6918298,-0.558985556,-0.620165228,-1.274946794,-0.130269396,1.656865356,2.093653101,1.291984695,-1.091310407,0.923798138,-0.230244824,0.308621168,0.501479497
1,13,6,0.911494229,-0.569490479,0.41585731,-0.797607113,1.517980691,-2.655100367,0.100181206,-0.649322552,-0.194161863,0.383515084,-1.7059859,-0.915093467,0.434966783,0.788811742,0.422840408,-0.800491607,0.477343858,-0.68271054,0.035880891,0.70549297,-0.606300941,-0.569300392,-1.292653394,-0.182538567,1.636557162,2.105054208,1.287086963,-1.04754019,0.947179159,-0.235585575,0.287784487,0.445855792
1,13,12,0.846548044,-0.564778373,0.380874179,-0.826479176,1.578509145,-2.674525781,0.068447514,-0.658731833,-0.19938559,0.341619029,-1.648092546,-0.866499496,0.469488018,0.825020281,0.471344951,-0.726495849,0.472761451,-0.706906833,0.05622421,0.751098516,-0.658421142,-0.569503789,-1.344777026,-0.276463362,1.618562919,2.07810432,1.296611154,-0.97452808,0.954439664,-0.264614235,0.293787538,0.456762177
1,13,18,0.852800118,-0.55851175,0.365758266,-0.858512628,1.635564274,-2.67162002,0.146014362,-0.658252681,-0.228828153,0.344198296,-1.662208834,-0.864701434,0.431834837,0.747211291,0.510442593,-0.670062564,0.46683547,-0.761024738,0.094240137,0.768805745,-0.661329718,-0.564779663,-1.340718763,-0.353423946,1.586639141,2.074095633,1.300280909,-0.900755676,0.980162127,-0.261000096,0.291294128,0.419553337
